interval,date,boro_nm,category,call_count
daily,2024-01-17,Staten Island,Confirmed Crime,46
daily,2024-01-17,Staten Island,Potential Crime,93
daily,2024-01-18,Bronx,Confirmed Crime,461
daily,2024-01-18,Bronx,Potential Crime,568
daily,2024-01-18,Brooklyn,Confirmed Crime,553
daily,2024-01-18,Brooklyn,Potential Crime,902
daily,2024-01-18,Manhattan,Confirmed Crime,507
daily,2024-01-18,Manhattan,Potential Crime,798
daily,2024-01-18,Queens,Confirmed Crime,412
daily,2024-01-18,Queens,Potential Crime,676
daily,2024-01-18,Staten Island,Confirmed Crime,68
daily,2024-01-18,Staten Island,Potential Crime,154
daily,2024-01-19,Bronx,Confirmed Crime,430
daily,2024-01-19,Bronx,Potential Crime,583
daily,2024-01-19,Brooklyn,Confirmed Crime,583
daily,2024-01-19,Brooklyn,Potential Crime,940
daily,2024-01-19,Manhattan,Confirmed Crime,525
daily,2024-01-19,Manhattan,Potential Crime,707
daily,2024-01-19,Queens,Confirmed Crime,484
daily,2024-01-19,Queens,Potential Crime,671
daily,2024-01-19,Staten Island,Confirmed Crime,48
daily,2024-01-19,Staten Island,Potential Crime,111
daily,2024-01-20,Bronx,Confirmed Crime,450
daily,2024-01-20,Bronx,Potential Crime,632
daily,2024-01-20,Brooklyn,Confirmed Crime,517
daily,2024-01-20,Brooklyn,Potential Crime,932
daily,2024-01-20,Manhattan,Confirmed Crime,455
daily,2024-01-20,Manhattan,Potential Crime,737
daily,2024-01-20,Queens,Confirmed Crime,433
daily,2024-01-20,Queens,Potential Crime,772
daily,2024-01-20,Staten Island,Confirmed Crime,46
daily,2024-01-20,Staten Island,Potential Crime,161
daily,2024-01-21,Bronx,Confirmed Crime,414
daily,2024-01-21,Bronx,Potential Crime,618
daily,2024-01-21,Brooklyn,Confirmed Crime,513
daily,2024-01-21,Brooklyn,Potential Crime,915
daily,2024-01-21,Manhattan,Confirmed Crime,483
daily,2024-01-21,Manhattan,Potential Crime,645
daily,2024-01-21,Queens,Confirmed Crime,408
daily,2024-01-21,Queens,Potential Crime,690
daily,2024-01-21,Staten Island,Confirmed Crime,41
daily,2024-01-21,Staten Island,Potential Crime,138
daily,2024-01-22,Bronx,Confirmed Crime,448
daily,2024-01-22,Bronx,Potential Crime,549
daily,2024-01-22,Brooklyn,Confirmed Crime,586
daily,2024-01-22,Brooklyn,Potential Crime,824
daily,2024-01-22,Manhattan,Confirmed Crime,521
daily,2024-01-22,Manhattan,Potential Crime,636
daily,2024-01-22,Queens,Confirmed Crime,435
daily,2024-01-22,Queens,Potential Crime,697
daily,2024-01-22,Staten Island,Confirmed Crime,65
daily,2024-01-22,Staten Island,Potential Crime,115
daily,2024-01-23,Bronx,Confirmed Crime,470
daily,2024-01-23,Bronx,Potential Crime,589
daily,2024-01-23,Brooklyn,Confirmed Crime,605
daily,2024-01-23,Brooklyn,Potential Crime,832
daily,2024-01-23,Manhattan,Confirmed Crime,542
daily,2024-01-23,Manhattan,Potential Crime,748
daily,2024-01-23,Queens,Confirmed Crime,473
daily,2024-01-23,Queens,Potential Crime,605
daily,2024-01-23,Staten Island,Confirmed Crime,59
daily,2024-01-23,Staten Island,Potential Crime,128
daily,2024-01-24,Bronx,Confirmed Crime,468
daily,2024-01-24,Bronx,Potential Crime,621
daily,2024-01-24,Brooklyn,Confirmed Crime,569
daily,2024-01-24,Brooklyn,Potential Crime,884
daily,2024-01-24,Manhattan,Confirmed Crime,585
daily,2024-01-24,Manhattan,Potential Crime,729
daily,2024-01-24,Queens,Confirmed Crime,446
daily,2024-01-24,Queens,Potential Crime,620
daily,2024-01-24,Staten Island,Confirmed Crime,54
daily,2024-01-24,Staten Island,Potential Crime,112
daily,2024-01-25,Bronx,Confirmed Crime,462
daily,2024-01-25,Bronx,Potential Crime,619
daily,2024-01-25,Brooklyn,Confirmed Crime,606
daily,2024-01-25,Brooklyn,Potential Crime,877
daily,2024-01-25,Manhattan,Confirmed Crime,527
daily,2024-01-25,Manhattan,Potential Crime,707
daily,2024-01-25,Queens,Confirmed Crime,448
daily,2024-01-25,Queens,Potential Crime,670
daily,2024-01-25,Staten Island,Confirmed Crime,50
daily,2024-01-25,Staten Island,Potential Crime,122
daily,2024-01-26,Bronx,Confirmed Crime,471
daily,2024-01-26,Bronx,Potential Crime,670
daily,2024-01-26,Brooklyn,Confirmed Crime,623
daily,2024-01-26,Brooklyn,Potential Crime,1087
daily,2024-01-26,Manhattan,Confirmed Crime,588
daily,2024-01-26,Manhattan,Potential Crime,758
daily,2024-01-26,Queens,Confirmed Crime,469
daily,2024-01-26,Queens,Potential Crime,773
daily,2024-01-26,Staten Island,Confirmed Crime,63
daily,2024-01-26,Staten Island,Potential Crime,150
daily,2024-01-27,Bronx,Confirmed Crime,484
daily,2024-01-27,Bronx,Potential Crime,661
daily,2024-01-27,Brooklyn,Confirmed Crime,632
daily,2024-01-27,Brooklyn,Potential Crime,994
daily,2024-01-27,Manhattan,Confirmed Crime,593
daily,2024-01-27,Manhattan,Potential Crime,824
daily,2024-01-27,Queens,Confirmed Crime,456
daily,2024-01-27,Queens,Potential Crime,740
daily,2024-01-27,Staten Island,Confirmed Crime,74
daily,2024-01-27,Staten Island,Potential Crime,120
daily,2024-01-28,Bronx,Confirmed Crime,443
daily,2024-01-28,Bronx,Potential Crime,627
daily,2024-01-28,Brooklyn,Confirmed Crime,526
daily,2024-01-28,Brooklyn,Potential Crime,887
daily,2024-01-28,Manhattan,Confirmed Crime,532
daily,2024-01-28,Manhattan,Potential Crime,693
daily,2024-01-28,Queens,Confirmed Crime,456
daily,2024-01-28,Queens,Potential Crime,780
daily,2024-01-28,Staten Island,Confirmed Crime,50
daily,2024-01-28,Staten Island,Potential Crime,116
daily,2024-01-29,Bronx,Confirmed Crime,478
daily,2024-01-29,Bronx,Potential Crime,577
daily,2024-01-29,Brooklyn,Confirmed Crime,597
daily,2024-01-29,Brooklyn,Potential Crime,900
daily,2024-01-29,Manhattan,Confirmed Crime,560
daily,2024-01-29,Manhattan,Potential Crime,700
daily,2024-01-29,Queens,Confirmed Crime,457
daily,2024-01-29,Queens,Potential Crime,645
daily,2024-01-29,Staten Island,Confirmed Crime,61
daily,2024-01-29,Staten Island,Potential Crime,118
daily,2024-01-30,Bronx,Confirmed Crime,510
daily,2024-01-30,Bronx,Potential Crime,583
daily,2024-01-30,Brooklyn,Confirmed Crime,643
daily,2024-01-30,Brooklyn,Potential Crime,857
daily,2024-01-30,Manhattan,Confirmed Crime,514
daily,2024-01-30,Manhattan,Potential Crime,695
daily,2024-01-30,Queens,Confirmed Crime,496
daily,2024-01-30,Queens,Potential Crime,669
daily,2024-01-30,Staten Island,Confirmed Crime,53
daily,2024-01-30,Staten Island,Potential Crime,116
daily,2024-01-31,Bronx,Confirmed Crime,502
daily,2024-01-31,Bronx,Potential Crime,594
daily,2024-01-31,Brooklyn,Confirmed Crime,582
daily,2024-01-31,Brooklyn,Potential Crime,868
daily,2024-01-31,Manhattan,Confirmed Crime,548
daily,2024-01-31,Manhattan,Potential Crime,751
daily,2024-01-31,Queens,Confirmed Crime,524
daily,2024-01-31,Queens,Potential Crime,624
daily,2024-01-31,Staten Island,Confirmed Crime,59
daily,2024-01-31,Staten Island,Potential Crime,135
daily,2024-02-01,Bronx,Confirmed Crime,523
daily,2024-02-01,Bronx,Potential Crime,660
daily,2024-02-01,Brooklyn,Confirmed Crime,621
daily,2024-02-01,Brooklyn,Potential Crime,932
daily,2024-02-01,Manhattan,Confirmed Crime,551
daily,2024-02-01,Manhattan,Potential Crime,769
daily,2024-02-01,Queens,Confirmed Crime,476
daily,2024-02-01,Queens,Potential Crime,708
daily,2024-02-01,Staten Island,Confirmed Crime,53
daily,2024-02-01,Staten Island,Potential Crime,130
daily,2024-02-02,Bronx,Confirmed Crime,526
daily,2024-02-02,Bronx,Potential Crime,690
daily,2024-02-02,Brooklyn,Confirmed Crime,619
daily,2024-02-02,Brooklyn,Potential Crime,1052
daily,2024-02-02,Manhattan,Confirmed Crime,551
daily,2024-02-02,Manhattan,Potential Crime,747
daily,2024-02-02,Queens,Confirmed Crime,514
daily,2024-02-02,Queens,Potential Crime,757
daily,2024-02-02,Staten Island,Confirmed Crime,72
daily,2024-02-02,Staten Island,Potential Crime,151
daily,2024-02-03,Bronx,Confirmed Crime,471
daily,2024-02-03,Bronx,Potential Crime,751
daily,2024-02-03,Brooklyn,Confirmed Crime,645
daily,2024-02-03,Brooklyn,Potential Crime,1080
daily,2024-02-03,Manhattan,Confirmed Crime,535
daily,2024-02-03,Manhattan,Potential Crime,765
daily,2024-02-03,Queens,Confirmed Crime,504
daily,2024-02-03,Queens,Potential Crime,835
daily,2024-02-03,Staten Island,Confirmed Crime,66
daily,2024-02-03,Staten Island,Potential Crime,139
daily,2024-02-04,Bronx,Confirmed Crime,455
daily,2024-02-04,Bronx,Potential Crime,590
daily,2024-02-04,Brooklyn,Confirmed Crime,573
daily,2024-02-04,Brooklyn,Potential Crime,1018
daily,2024-02-04,Manhattan,Confirmed Crime,522
daily,2024-02-04,Manhattan,Potential Crime,741
daily,2024-02-04,Queens,Confirmed Crime,478
daily,2024-02-04,Queens,Potential Crime,800
daily,2024-02-04,Staten Island,Confirmed Crime,57
daily,2024-02-04,Staten Island,Potential Crime,136
daily,2024-02-05,Bronx,Confirmed Crime,443
daily,2024-02-05,Bronx,Potential Crime,583
daily,2024-02-05,Brooklyn,Confirmed Crime,580
daily,2024-02-05,Brooklyn,Potential Crime,834
daily,2024-02-05,Manhattan,Confirmed Crime,550
daily,2024-02-05,Manhattan,Potential Crime,822
daily,2024-02-05,Queens,Confirmed Crime,540
daily,2024-02-05,Queens,Potential Crime,653
daily,2024-02-05,Staten Island,Confirmed Crime,72
daily,2024-02-05,Staten Island,Potential Crime,115
daily,2024-02-06,Bronx,Confirmed Crime,473
daily,2024-02-06,Bronx,Potential Crime,613
daily,2024-02-06,Brooklyn,Confirmed Crime,614
daily,2024-02-06,Brooklyn,Potential Crime,955
daily,2024-02-06,Manhattan,Confirmed Crime,557
daily,2024-02-06,Manhattan,Potential Crime,728
daily,2024-02-06,Queens,Confirmed Crime,465
daily,2024-02-06,Queens,Potential Crime,618
daily,2024-02-06,Staten Island,Confirmed Crime,57
daily,2024-02-06,Staten Island,Potential Crime,140
daily,2024-02-07,Bronx,Confirmed Crime,502
daily,2024-02-07,Bronx,Potential Crime,596
daily,2024-02-07,Brooklyn,Confirmed Crime,630
daily,2024-02-07,Brooklyn,Potential Crime,889
daily,2024-02-07,Manhattan,Confirmed Crime,554
daily,2024-02-07,Manhattan,Potential Crime,707
daily,2024-02-07,Queens,Confirmed Crime,489
daily,2024-02-07,Queens,Potential Crime,627
daily,2024-02-07,Staten Island,Confirmed Crime,55
daily,2024-02-07,Staten Island,Potential Crime,145
daily,2024-02-08,Bronx,Confirmed Crime,477
daily,2024-02-08,Bronx,Potential Crime,648
daily,2024-02-08,Brooklyn,Confirmed Crime,616
daily,2024-02-08,Brooklyn,Potential Crime,883
daily,2024-02-08,Manhattan,Confirmed Crime,524
daily,2024-02-08,Manhattan,Potential Crime,767
daily,2024-02-08,Queens,Confirmed Crime,439
daily,2024-02-08,Queens,Potential Crime,712
daily,2024-02-08,Staten Island,Confirmed Crime,63
daily,2024-02-08,Staten Island,Potential Crime,154
daily,2024-02-09,Bronx,Confirmed Crime,517
daily,2024-02-09,Bronx,Potential Crime,694
daily,2024-02-09,Brooklyn,Confirmed Crime,693
daily,2024-02-09,Brooklyn,Potential Crime,999
daily,2024-02-09,Manhattan,Confirmed Crime,557
daily,2024-02-09,Manhattan,Potential Crime,723
daily,2024-02-09,Queens,Confirmed Crime,506
daily,2024-02-09,Queens,Potential Crime,750
daily,2024-02-09,Staten Island,Confirmed Crime,81
daily,2024-02-09,Staten Island,Potential Crime,112
daily,2024-02-10,Bronx,Confirmed Crime,487
daily,2024-02-10,Bronx,Potential Crime,646
daily,2024-02-10,Brooklyn,Confirmed Crime,616
daily,2024-02-10,Brooklyn,Potential Crime,1084
daily,2024-02-10,Manhattan,Confirmed Crime,541
daily,2024-02-10,Manhattan,Potential Crime,815
daily,2024-02-10,Queens,Confirmed Crime,515
daily,2024-02-10,Queens,Potential Crime,834
daily,2024-02-10,Staten Island,Confirmed Crime,82
daily,2024-02-10,Staten Island,Potential Crime,133
daily,2024-02-11,Bronx,Confirmed Crime,446
daily,2024-02-11,Bronx,Potential Crime,620
daily,2024-02-11,Brooklyn,Confirmed Crime,618
daily,2024-02-11,Brooklyn,Potential Crime,886
daily,2024-02-11,Manhattan,Confirmed Crime,534
daily,2024-02-11,Manhattan,Potential Crime,729
daily,2024-02-11,Queens,Confirmed Crime,496
daily,2024-02-11,Queens,Potential Crime,716
daily,2024-02-11,Staten Island,Confirmed Crime,68
daily,2024-02-11,Staten Island,Potential Crime,139
