typ_desc,incident_date,count
ALARMS: AUDIBLE/INSIDE,2024-05-26T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-27T00:00:00.000,7
ALARMS: AUDIBLE/INSIDE,2024-05-29T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-05-31T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-06-01T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-06-02T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-06-04T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-06-05T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-06T00:00:00.000,7
ALARMS: AUDIBLE/INSIDE,2024-06-07T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-06-08T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-09T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-10T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-12T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-06-14T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-06-15T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-18T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-19T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-06-20T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-06-21T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-06-22T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-06-23T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-06-24T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-25T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-26T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-27T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-06-28T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-29T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-06-30T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-07-02T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-04T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-07-05T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-06T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-07-07T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-09T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-10T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-07-11T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-07-12T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-13T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-14T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-15T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-07-17T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-18T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-07-20T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-21T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-07-22T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-07-23T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-07-24T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-07-25T00:00:00.000,5
